"Facility_Short_Name","SPECIES_Code","ORIGIN_TYPE_Code","Lat","Lon"
"CEDAR RIVER HATCHERY","CK","W",47.3761,-121.9625
"CEDAR RIVER HATCHERY","CO","W",47.3761,-121.9625
"GARRISON HATCHERY","CH","W",47.1915,-122.5741
"GEORGE ADAMS HATCHERY","CH","H",47.3013,-123.1818
"GEORGE ADAMS HATCHERY","CK","H",47.3013,-123.1818
"HOODSPORT HATCHERY","CH","H",47.407,-123.1399
"HOODSPORT HATCHERY","CK","H",47.407,-123.1399
"MCKERNAN HATCHERY","CH","H",47.3066,-123.203
"MINTER CR HATCHERY","CH","H",47.3726,-122.7026
"MINTER CR HATCHERY","CK","H",47.3726,-122.7026
"MINTER CR HATCHERY","CO","W",47.3726,-122.7026
"MINTER CR HATCHERY","CO","H",47.3726,-122.7026
"SOOS CREEK HATCHERY","CH","W",47.3093,-122.1688
