"sp","site","year","firstobsdate","lastobsdate","peakobsdate","midobsdate","alltotal"
"ck","albion","1980","154","275","268","203","87.18"
"ck","albion","1981","100","98","214","189","91.96"
"ck","albion","1982","101","98","257","192","147.8"
"ck","albion","1983","100","97","170","181","114.17"
"ck","albion","1984","101","96","176","194","142.53"
"ck","albion","1985","101","99","169","183","139.06"
"ck","albion","1986","100","98","168","189","142.82"
"ck","albion","1987","100","99","173","173","274.44"
"ck","albion","1988","100","99","172","178","271.65"
"ck","albion","1989","101","99","173","178","149.46"
"ck","albion","1990","100","99","177","179","195.52"
"ck","albion","1991","100","97","181","187","243.51"
"ck","albion","1992","100","99","173","191","310.63"
"ck","albion","1993","100","99","163","183","217.63"
"ck","albion","1994","100","99","180","182","295.14"
"ck","albion","1995","100","98","175","188","224.32"
"ck","albion","1996","107","99","188","196","360.51"
"ck","albion","1997","100","99","234","228","214.89"
"ck","albion","1998","101","99","191","199","203.7"
"ck","albion","1999","100","99","236","220","184.96"
"ck","albion","2000","100","99","183","206","189.08"
"ck","albion","2001","100","98","221","209","278.93"
"ck","albion","2002","101","99","186","203","235.39"
"ck","albion","2003","100","97","174","185","310.97"
"ck","albion","2004","101","98","184","219","178.31"
"ck","albion","2005","100","99","244","232","130.17"
"ck","albion","2006","101","98","202","205","88.46"
"ck","albion","2007","168","290","237","236","99.94"
"ck","albion","2008","125","291","241","231","151.01"
"ck","albion","2009","091","293","229","224","128.63"
"ck","albion","2010","091","293","185","202","117.79"
"ck","albion","2011","100","99","277","237","115.77"
"ck","albion","2012","118","294","230","235","49.98"
"ck","albion","2013","125","293","233","232","61.5"
"ck","albion","2014","112","293","185","207","89.39"
"ck","albion","2015","118","293","230","226","120.01"
"ck","albion","2016","144","294","232","227","74.73"
"ck","albion","2017","116","293","261","236","32.46"
"ck","albion","2018","129","283","240","232","38.98"
"ck","albion","2019","123","211","194","184","17.05"
